produto,unidade,categoria,ceasa,estado,preco,data
Abóbora,1Kg,Hortaliças,CEAGESP Ribeirão Preto(SP),SP,2.63,2026-08-03
Abobrinha,1Kg,Hortaliças,CEAGESP Ribeirão Preto(SP),SP,3.38,2026-08-03
Alface,1Dz,Hortaliças,CEAGESP Ribeirão Preto(SP),SP,30.15,2026-08-03
Berinjela,1Kg,Hortaliças,CEAGESP Ribeirão Preto(SP),SP,3.5,2026-08-03
Beterraba,1Kg,Hortaliças,CEAGESP Ribeirão Preto(SP),SP,2.37,2026-08-03
Brócolis,1Kg,Hortaliças,CEAGESP Ribeirão Preto(SP),SP,3.33,2026-08-03
Cenoura,1Kg,Hortaliças,CEAGESP Ribeirão Preto(SP),SP,3.5,2026-08-03
Chuchu,1Kg,Hortaliças,CEAGESP Ribeirão Preto(SP),SP,2.25,2026-08-03
Couve,1Kg,Hortaliças,CEAGESP Ribeirão Preto(SP),SP,7.2,2026-08-03
Couve-Flor,1Un,Hortaliças,CEAGESP Ribeirão Preto(SP),SP,6.0,2026-08-03
Pepino,1Kg,Hortaliças,CEAGESP Ribeirão Preto(SP),SP,4.91,2026-08-03
Pimentão Verde,1Kg,Hortaliças,CEAGESP Ribeirão Preto(SP),SP,6.0,2026-08-03
Quiabo,1Kg,Hortaliças,CEAGESP Ribeirão Preto(SP),SP,8.53,2026-08-03
Repolho,1Kg,Hortaliças,CEAGESP Ribeirão Preto(SP),SP,2.5,2026-08-03
Tomate,1Kg,Hortaliças,CEAGESP Ribeirão Preto(SP),SP,3.5,2026-08-03
Vagem,1Kg,Hortaliças,CEAGESP Ribeirão Preto(SP),SP,8.33,2026-08-03
Abacate,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,3.43,2026-08-03
Abacaxi,1Un,Frutas,CEAGESP Ribeirão Preto(SP),SP,5.5,2026-08-03
Banana Nanica,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,3.5,2026-08-03
Banana Prata,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,4.76,2026-08-03
Coco Verde,1unidade,Frutas,CEAGESP Ribeirão Preto(SP),SP,4.17,2026-08-03
Goiaba,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,8.72,2026-08-03
Laranja Pêra,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,2.25,2026-08-03
Limão Taiti,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,4.25,2026-08-03
Maçã Nacional,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,6.16,2026-08-03
Mamão Formosa,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,7.0,2026-08-03
Mamão Havaí,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,15.0,2026-08-03
Manga,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,7.5,2026-08-03
Maracujá Azedo,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,10.0,2026-08-03
Melancia,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,3.1,2026-08-03
Melão Amarelo,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,3.93,2026-08-03
Morango,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,30.0,2026-08-03
Pêra Estrangeira,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,9.35,2026-08-03
Tangerina,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,4.17,2026-08-03
Uva Itália,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,14.3,2026-08-03
Uva Niagara,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,18.01,2026-08-03
Uva Rubi,1Kg,Frutas,CEAGESP Ribeirão Preto(SP),SP,16.0,2026-08-03
